MCS	Replica	Neigh	Numero_ag	Tamaño_ag
8400	R5	0.96	86	27
8600	R5	0.958571429	87	25.6
8800	R5	0.96	87	29.4
9000	R5	0.961428571	93	25.8
9200	R5	0.964285714	85	26.8
9400	R5	0.964285714	89	25.2
9600	R5	0.962857143	90	26.4
9800	R5	0.962857143	88	27
10000	R5	0.961428571	87	26
0	R6	0.475714286	127	5.8
200	R6	0.748571429	161	7.8
400	R6	0.825714286	163	10.8
600	R6	0.848571429	156	11.2
800	R6	0.88	152	12.4
1000	R6	0.891428571	145	11.8
1200	R6	0.898571429	148	12
1400	R6	0.904285714	142	11.6
1600	R6	0.915714286	139	12
1800	R6	0.922857143	126	12.8
2000	R6	0.925714286	127	14.2
2200	R6	0.928571429	122	16.8
2400	R6	0.928571429	117	16
2600	R6	0.93	114	19.8
2800	R6	0.931428571	114	19.4
3000	R6	0.934285714	110	19.6
3200	R6	0.934285714	112	20.4
3400	R6	0.932857143	110	19.6
3600	R6	0.932857143	110	18.4
3800	R6	0.935714286	107	20.4
4000	R6	0.94	108	18.6
4200	R6	0.94	108	19.8
4400	R6	0.944285714	109	21.2
4600	R6	0.942857143	105	20.4
4800	R6	0.95	107	20.6
5000	R6	0.948571429	103	22
5200	R6	0.947142857	106	24.2
5400	R6	0.945714286	106	23.6
5600	R6	0.944285714	104	21
5800	R6	0.945714286	98	23.6
6000	R6	0.947142857	101	22
6200	R6	0.952857143	105	20.8
6400	R6	0.952857143	104	19
6600	R6	0.954285714	102	18.8
6800	R6	0.957142857	99	19.8
7000	R6	0.957142857	100	19
7200	R6	0.957142857	94	22
7400	R6	0.958571429	94	22.4
7600	R6	0.955714286	98	21.8
7800	R6	0.957142857	93	20.8
8000	R6	0.961428571	102	20.6
8200	R6	0.962857143	96	22.2
8400	R6	0.962857143	95	22
8600	R6	0.96	94	21.8
8800	R6	0.958571429	98	20.4
9000	R6	0.96	95	22.2
9200	R6	0.961428571	96	20.8
9400	R6	0.958571429	92	21
